file,PESQ_clean_vs_recon_clean,PESQ_degraded_vs_recon_degraded,PESQ_recon_clean_vs_recon_degraded
p245_132_airportAnnouncement_0dB,2.053,1.992,1.082
p245_132_airportAnnouncement_-5dB,2.053,2.52,1.063
p245_132_airConditioner_5dB,2.053,2.304,2.131
p245_132_munching_5dB,2.053,1.37,1.316
p245_132_munching_10dB,2.053,1.509,1.691
p245_132_copyMachine_5dB,2.053,2.426,1.46
p245_132_copyMachine_-5dB,,,
p245_132_airConditioner_10dB,2.053,1.801,2.54
p245_132_copyMachine_0dB,2.053,3.222,1.272
p245_132_copyMachine_10dB,2.053,2.097,1.788
p245_132_airConditioner_-5dB,2.053,2.294,1.17
p245_132_airConditioner_0dB,2.053,2.421,1.605
p245_132_munching_0dB,2.053,1.388,1.14
p245_132_airportAnnouncement_10dB,2.053,1.4,1.833
p245_132_airportAnnouncement_5dB,2.053,1.463,1.44
p245_132_munching_-5dB,2.053,1.458,1.078
p241_017_airportAnnouncement_10dB,1.657,1.544,1.724
p241_017_copyMachine_10dB,1.657,1.939,1.741
p241_017_airportAnnouncement_5dB,1.657,1.741,1.479
p241_017_munching_5dB,1.657,1.394,1.295
p241_017_munching_-5dB,1.657,2.194,1.137
p241_017_copyMachine_5dB,1.657,2.656,1.377
p241_017_airConditioner_5dB,1.657,2.189,1.731
p241_017_airConditioner_10dB,1.657,2.039,2.006
p241_017_airConditioner_-5dB,1.657,2.594,1.124
p241_017_airportAnnouncement_-5dB,1.657,2.624,1.136
p241_017_copyMachine_-5dB,1.657,3.983,1.121
p241_017_airConditioner_0dB,1.657,2.553,1.376
p241_017_copyMachine_0dB,1.657,3.606,1.187
p241_017_airportAnnouncement_0dB,1.657,2.142,1.254
p241_017_munching_0dB,1.657,1.598,1.172
p241_017_munching_10dB,1.657,1.251,1.525
p234_003_airConditioner_10dB,1.515,1.951,1.845
p234_003_copyMachine_-5dB,1.515,3.973,1.037
p234_003_airportAnnouncement_0dB,1.515,2.343,1.131
p234_003_munching_5dB,1.515,1.494,1.205
p234_003_munching_10dB,1.515,1.425,1.456
p234_003_airConditioner_0dB,1.515,2.569,1.223
p234_003_copyMachine_5dB,1.515,2.252,1.159
p234_003_airportAnnouncement_-5dB,1.515,2.739,1.088
p234_003_munching_-5dB,1.515,2.007,1.068
p234_003_airConditioner_5dB,1.515,2.196,1.425
p234_003_airportAnnouncement_10dB,1.515,1.599,1.412
p234_003_copyMachine_0dB,1.515,3.434,1.073
p234_003_airConditioner_-5dB,1.515,2.484,1.11
p234_003_copyMachine_10dB,1.515,1.915,1.361
p234_003_munching_0dB,1.515,1.71,1.114
p234_003_airportAnnouncement_5dB,1.515,1.794,1.209
