file,PESQ_clean_vs_recon_clean,PESQ_degraded_vs_recon_degraded,PESQ_recon_clean_vs_recon_degraded
p345_249_airportAnnouncement_-5dB,1.399,2.364,1.036
p345_249_airportAnnouncement_10dB,1.399,1.397,1.254
p345_249_airportAnnouncement_0dB,1.399,1.931,1.13
p345_249_train_coming_5dB,1.399,1.96,1.113
p345_249_train_coming_-5dB,1.399,2.491,1.05
p345_249_babble_10dB,1.399,1.732,1.167
p345_249_babble_-5dB,1.399,3.316,1.037
p345_249_train_coming_0dB,1.399,2.212,1.079
p345_249_white_noise_-5dB,1.399,2.774,1.041
p345_249_white_noise_5dB,1.399,2.39,1.067
p345_249_babble_5dB,1.399,1.927,1.098
p345_249_white_noise_10dB,1.399,1.208,1.238
p345_249_white_noise_0dB,1.399,2.625,1.053
p345_249_airportAnnouncement_5dB,1.399,1.606,1.188
p345_249_babble_0dB,1.399,2.434,1.058
p345_249_train_coming_10dB,1.399,1.782,1.201
p283_025_white_noise_-5dB,1.346,2.979,1.026
p283_025_airportAnnouncement_-5dB,1.346,2.627,1.097
p283_025_train_coming_-5dB,1.346,2.976,1.033
p283_025_white_noise_5dB,1.346,2.936,1.078
p283_025_babble_0dB,1.346,2.926,1.068
p283_025_babble_5dB,1.346,2.534,1.149
p283_025_airportAnnouncement_10dB,1.346,1.533,1.262
p283_025_white_noise_0dB,1.346,3.076,1.033
p283_025_train_coming_10dB,1.346,2.295,1.335
p283_025_train_coming_0dB,1.346,2.769,1.067
p283_025_airportAnnouncement_5dB,1.346,1.784,1.191
p283_025_white_noise_10dB,1.346,1.393,1.403
p283_025_train_coming_5dB,1.346,2.531,1.16
p283_025_babble_-5dB,1.346,3.438,1.043
p283_025_airportAnnouncement_0dB,1.346,2.218,1.115
p283_025_babble_10dB,1.346,2.087,1.31
p281_079_white_noise_-5dB,1.38,2.717,1.089
p281_079_train_coming_-5dB,1.38,2.729,1.1
p281_079_babble_-5dB,1.38,3.065,1.055
p281_079_train_coming_5dB,1.38,2.235,1.479
p281_079_white_noise_0dB,1.38,2.503,1.14
p281_079_train_coming_0dB,1.38,2.438,1.203
p281_079_train_coming_10dB,1.38,1.907,1.948
p281_079_airportAnnouncement_10dB,1.38,1.337,1.628
p281_079_babble_10dB,1.38,1.814,1.597
p281_079_white_noise_5dB,1.38,2.301,1.282
p281_079_babble_0dB,1.38,2.377,1.11
p281_079_airportAnnouncement_5dB,1.38,1.53,1.535
p281_079_babble_5dB,1.38,2.041,1.229
p281_079_white_noise_10dB,1.38,1.238,1.807
p281_079_airportAnnouncement_-5dB,1.38,2.249,1.205
p281_079_airportAnnouncement_0dB,1.38,1.788,1.333
p249_241_train_coming_5dB,1.375,2.147,1.293
p249_241_airportAnnouncement_0dB,1.375,1.917,1.173
p249_241_train_coming_10dB,1.375,1.922,1.628
p249_241_white_noise_10dB,1.375,1.285,1.532
p249_241_train_coming_0dB,1.375,2.611,1.149
p249_241_white_noise_5dB,1.375,2.863,1.135
p249_241_babble_5dB,1.375,2.414,1.221
p249_241_white_noise_-5dB,1.375,2.957,1.068
p249_241_airportAnnouncement_-5dB,1.375,2.459,1.11
p249_241_babble_0dB,1.375,2.874,1.108
p249_241_white_noise_0dB,1.375,3.036,1.086
p249_241_airportAnnouncement_10dB,1.375,1.382,1.384
p249_241_babble_-5dB,1.375,3.24,1.066
p249_241_airportAnnouncement_5dB,1.375,1.625,1.258
p249_241_train_coming_-5dB,1.375,2.841,1.078
p249_241_babble_10dB,1.375,2.037,1.575
p245_132_train_coming_10dB,1.99,2.254,2.19
p245_132_babble_5dB,1.99,2.157,1.293
p245_132_airportAnnouncement_5dB,1.99,1.463,1.455
p245_132_babble_0dB,1.99,2.537,1.138
p245_132_babble_10dB,1.99,2.039,1.667
p245_132_airportAnnouncement_0dB,1.99,1.992,1.082
p245_132_white_noise_10dB,1.99,1.303,1.93
p245_132_white_noise_0dB,1.99,2.751,1.183
p245_132_airportAnnouncement_10dB,1.99,1.4,1.815
p245_132_babble_-5dB,1.99,3.227,1.047
p245_132_train_coming_-5dB,1.99,2.94,1.118
p245_132_white_noise_5dB,1.99,2.765,1.35
p245_132_train_coming_0dB,1.99,2.685,1.261
p245_132_airportAnnouncement_-5dB,1.99,2.52,1.056
p245_132_white_noise_-5dB,1.99,2.732,1.096
p245_132_train_coming_5dB,1.99,2.463,1.534
p323_083_white_noise_10dB,1.25,1.225,1.378
p323_083_train_coming_10dB,1.25,1.971,1.431
p323_083_babble_10dB,1.25,1.845,1.488
p323_083_airportAnnouncement_-5dB,1.25,2.206,1.077
p323_083_babble_0dB,1.25,2.67,1.091
p323_083_airportAnnouncement_5dB,1.25,1.399,1.344
p323_083_train_coming_0dB,1.25,2.511,1.094
p323_083_train_coming_-5dB,1.25,2.775,1.053
p323_083_airportAnnouncement_0dB,1.25,1.814,1.216
p323_083_white_noise_-5dB,,,
p323_083_babble_-5dB,1.25,3.219,1.083
p323_083_airportAnnouncement_10dB,1.25,1.335,1.454
p323_083_white_noise_0dB,1.25,3.125,1.051
p323_083_train_coming_5dB,1.25,2.25,1.196
p323_083_white_noise_5dB,1.25,3.025,1.116
p323_083_babble_5dB,1.25,2.359,1.228
p272_330_train_coming_0dB,1.307,2.418,1.096
p272_330_white_noise_-5dB,1.307,2.763,1.061
p272_330_train_coming_-5dB,1.307,2.664,1.052
p272_330_airportAnnouncement_10dB,1.307,1.351,1.293
p272_330_babble_10dB,1.307,1.671,1.306
p272_330_babble_0dB,1.307,2.497,1.078
p272_330_airportAnnouncement_0dB,1.307,1.848,1.086
p272_330_babble_-5dB,1.307,3.144,1.051
p272_330_airportAnnouncement_-5dB,1.307,2.192,1.065
p272_330_white_noise_10dB,1.307,1.197,1.437
p272_330_train_coming_10dB,1.307,1.94,1.347
p272_330_white_noise_0dB,1.307,2.525,1.072
p272_330_train_coming_5dB,1.307,2.234,1.187
p272_330_white_noise_5dB,1.307,2.256,1.109
p272_330_airportAnnouncement_5dB,1.307,1.543,1.144
p272_330_babble_5dB,1.307,2.034,1.134
p305_175_babble_0dB,1.756,2.925,1.059
p305_175_white_noise_10dB,1.756,1.36,1.476
p305_175_train_coming_0dB,1.756,3.01,1.057
p305_175_white_noise_5dB,1.756,3.244,1.097
p305_175_train_coming_10dB,1.756,2.689,1.447
p305_175_train_coming_5dB,1.756,2.835,1.16
p305_175_airportAnnouncement_10dB,1.756,1.718,1.382
p305_175_train_coming_-5dB,1.756,2.981,1.032
p305_175_airportAnnouncement_-5dB,1.756,2.76,1.102
p305_175_babble_5dB,1.756,2.777,1.147
p305_175_white_noise_-5dB,1.756,2.997,1.025
p305_175_airportAnnouncement_5dB,1.756,1.972,1.223
p305_175_airportAnnouncement_0dB,1.756,2.29,1.138
p305_175_babble_10dB,1.756,2.45,1.405
p305_175_babble_-5dB,1.756,3.447,1.034
p305_175_white_noise_0dB,1.756,3.208,1.035
p360_188_train_coming_-5dB,1.244,2.716,1.059
p360_188_airportAnnouncement_-5dB,1.244,2.219,1.047
p360_188_babble_0dB,1.244,2.669,1.092
p360_188_airportAnnouncement_10dB,1.244,1.287,1.319
p360_188_white_noise_10dB,1.244,1.219,1.204
p360_188_babble_-5dB,1.244,3.037,1.046
