file,SNR_clean_vs_recon_clean,SNR_degraded_vs_recon_degraded,SNR_recon_clean_vs_recon_degraded
p245_132_airportAnnouncement_0dB,-0.073,-2.583,-5.689
p245_132_airportAnnouncement_-5dB,-0.073,-3.603,-3.523
p245_132_munching_5dB,-0.073,-0.743,-4.978
p245_132_munching_10dB,-0.073,0.081,-5.647
p245_132_babble_0dB,-0.073,nan,1.312
p245_132_copyMachine_5dB,-0.073,-4.494,0.208
p245_132_copyMachine_-5dB,-0.073,nan,nan
p245_132_babble_10dB,-0.073,-0.977,-5.34
p245_132_copyMachine_0dB,-0.073,-12.796,0.261
p245_132_babble_5dB,-0.073,-2.223,-1.959
p245_132_babble_-5dB,-0.073,nan,1.52
p245_132_copyMachine_10dB,-0.073,-2.148,-4.94
p245_132_munching_0dB,-0.073,0.54,-4.928
p245_132_airportAnnouncement_10dB,-0.073,-0.366,-4.178
p245_132_airportAnnouncement_5dB,-0.073,-1.075,-4.801
p245_132_munching_-5dB,-0.073,0.919,-5.431
p234_321_babble_5dB,-0.91,-7.865,0.94
p234_321_copyMachine_10dB,-0.91,-2.44,-2.236
p234_321_munching_10dB,-0.91,-1.423,-3.565
p234_321_airportAnnouncement_5dB,-0.91,-4.149,-2.306
p234_321_copyMachine_5dB,-0.91,-4.924,1.518
p234_321_airportAnnouncement_-5dB,-0.91,-8.032,2.556
p234_321_munching_5dB,-0.91,-0.918,-2.694
p234_321_babble_10dB,-0.91,-3.923,-1.984
p234_321_munching_0dB,-0.91,-2.14,-2.807
p234_321_copyMachine_0dB,-0.91,-6.538,11.607
p234_321_munching_-5dB,-0.91,-1.888,-2.755
p234_321_airportAnnouncement_0dB,-0.91,-5.011,-2.641
p234_321_airportAnnouncement_10dB,-0.91,-1.646,-2.399
p234_321_babble_-5dB,-0.91,-6.723,8.353
p234_321_copyMachine_-5dB,-0.91,-7.552,11.39
p234_321_babble_0dB,-0.91,-5.967,5.639
p241_017_babble_-5dB,-1.243,-14.969,15.71
p241_017_babble_5dB,-1.243,-5.242,0.507
p241_017_airportAnnouncement_10dB,-1.243,-1.92,-2.083
p241_017_copyMachine_10dB,-1.243,-3.493,-2.036
p241_017_airportAnnouncement_5dB,-1.243,-2.18,-1.027
p241_017_munching_5dB,-1.243,-1.061,-2.816
p241_017_munching_-5dB,-1.243,-1.542,-1.336
p241_017_copyMachine_5dB,-1.243,-3.794,0.771
p241_017_babble_10dB,-1.243,-3.358,-2.165
p241_017_babble_0dB,-1.243,-6.16,9.807
p241_017_airportAnnouncement_-5dB,-1.243,-8.1,1.582
p241_017_copyMachine_-5dB,-1.243,-22.027,6.44
p241_017_copyMachine_0dB,-1.243,-8.671,5.062
p241_017_airportAnnouncement_0dB,-1.243,-3.749,-1.094
p241_017_munching_0dB,-1.243,-3.079,-2.596
p241_017_munching_10dB,-1.243,-1.519,-2.76
p234_003_copyMachine_-5dB,-1.28,nan,11.633
p234_003_airportAnnouncement_0dB,-1.28,-5.557,0.407
p234_003_munching_5dB,-1.28,-2.037,-2.36
p234_003_munching_10dB,-1.28,-1.814,-2.999
p234_003_babble_5dB,-1.28,-5.344,1.791
p234_003_copyMachine_5dB,-1.28,-4.24,2.081
p234_003_airportAnnouncement_-5dB,-1.28,-7.696,3.06
p234_003_babble_10dB,-1.28,-3.907,-1.128
p234_003_munching_-5dB,-1.28,-2.853,-0.946
p234_003_airportAnnouncement_10dB,-1.28,-2.721,-1.551
p234_003_copyMachine_0dB,-1.28,-7.317,5.15
p234_003_babble_-5dB,-1.28,-14.481,16.33
p234_003_babble_0dB,-1.28,-9.117,6.669
p234_003_copyMachine_10dB,-1.28,-3.884,-1.517
p234_003_munching_0dB,-1.28,-1.797,-1.287
p234_003_airportAnnouncement_5dB,-1.28,-3.857,-1.043
p237_073_babble_0dB,0.014,-6.04,3.408
p237_073_munching_0dB,0.014,-1.281,-4.07
p237_073_babble_-5dB,0.014,-13.582,4.474
p237_073_munching_10dB,0.014,-1.062,-5.135
p237_073_copyMachine_0dB,0.014,-6.224,0.87
p237_073_airportAnnouncement_-5dB,0.014,-4.786,0.056
p237_073_airportAnnouncement_0dB,0.014,-1.694,-3.015
p237_073_copyMachine_10dB,0.014,-0.923,-3.093
p237_073_copyMachine_5dB,0.014,-3.064,0.297
p237_073_airportAnnouncement_10dB,0.014,-0.224,-3.676
p237_073_airportAnnouncement_5dB,0.014,-2.338,-2.429
p237_073_copyMachine_-5dB,0.014,-4.528,6.24
p237_073_munching_5dB,0.014,-0.962,-5.083
p237_073_babble_5dB,0.014,-5.422,-1.245
p237_073_babble_10dB,0.014,-1.304,-2.915
p237_073_munching_-5dB,0.014,-2.63,-2.507
p245_200_munching_10dB,-0.383,-0.442,-3.505
p245_200_airportAnnouncement_10dB,-0.383,-0.654,-1.666
p245_200_airportAnnouncement_5dB,-0.383,-0.835,-1.572
p245_200_copyMachine_5dB,-0.383,-3.767,1.631
p245_200_munching_0dB,-0.383,-0.258,-1.969
p245_200_babble_10dB,-0.383,-1.615,-1.495
p245_200_copyMachine_10dB,-0.383,-2.212,-1.65
p245_200_babble_5dB,-0.383,-3.1,1.089
p245_200_munching_5dB,-0.383,-2.413,-3.073
p245_200_babble_-5dB,-0.383,-3.412,16.19
p245_200_copyMachine_-5dB,-0.383,-4.797,5.395
p245_200_babble_0dB,-0.383,-7.366,3.959
p245_200_airportAnnouncement_0dB,-0.383,-3.195,-0.782
p245_200_munching_-5dB,-0.383,0.384,-0.623
p245_200_airportAnnouncement_-5dB,-0.383,-2.858,0.768
p245_200_copyMachine_0dB,-0.383,-12.146,7.724
p241_185_station_5dB,-0.406,-3.88,-1.114
p241_185_station_-5dB,-0.406,-0.339,5.05
p241_185_babble_10dB,-0.406,-3.487,-3.645
p241_185_copyMachine_5dB,-0.406,-3.983,0.313
p241_185_copyMachine_-5dB,-0.406,-10.011,8.446
p241_185_munching_0dB,-0.406,-2.682,-3.478
p241_185_babble_5dB,-0.406,-4.532,-0.257
p241_185_airportAnnouncement_5dB,-0.406,-1.901,-3.107
p241_185_airportAnnouncement_10dB,-0.406,-2.774,-3.44
p241_185_munching_10dB,-0.406,-1.428,-4.581
p241_185_station_10dB,-0.406,-1.425,-4.624
p241_185_copyMachine_0dB,-0.406,-11.423,3.525
p241_185_babble_-5dB,-0.406,-26.053,5.537
p241_185_copyMachine_10dB,-0.406,-2.684,-2.927
p241_185_airportAnnouncement_-5dB,-0.406,-6.577,-0.513
p241_185_munching_5dB,-0.406,-1.851,-3.939
p241_185_babble_0dB,-0.406,-8.904,4.339
p241_185_airportAnnouncement_0dB,-0.406,-5.178,-2.015
p241_185_munching_-5dB,-0.406,-2.949,-2.534
p241_185_station_0dB,-0.406,-1.727,1.768
p237_198_munching_0dB,-0.057,0.264,-3.555
p237_198_babble_0dB,-0.057,-5.991,3.867
p237_198_munching_-5dB,-0.057,-1.48,-2.582
p237_198_copyMachine_10dB,-0.057,-1.636,-2.975
p237_198_babble_10dB,-0.057,-0.971,-2.563
p237_198_copyMachine_5dB,-0.057,-5.447,0.868
p237_198_airportAnnouncement_-5dB,-0.057,-7.476,-1.161
p237_198_airportAnnouncement_0dB,-0.057,-1.904,-3.726
p237_198_copyMachine_0dB,-0.057,-3.578,6.463
p237_198_babble_-5dB,-0.057,-6.195,nan
p237_198_airportAnnouncement_10dB,-0.057,-1.182,-3.316
p237_198_airportAnnouncement_5dB,-0.057,-0.365,-3.578
p237_198_munching_5dB,-0.057,-0.404,-3.732
p237_198_babble_5dB,-0.057,-6.238,-1.079
p237_198_munching_10dB,-0.057,0.136,-3.995
p237_198_copyMachine_-5dB,-0.057,nan,5.959
