file,STOI_clean_vs_recon_clean,STOI_degraded_vs_recon_degraded,STOI_recon_clean_vs_recon_degraded
p245_132_airportAnnouncement_0dB,0.883,0.923,0.695
p245_132_airportAnnouncement_-5dB,0.883,0.953,0.635
p245_132_munching_5dB,0.883,0.966,0.877
p245_132_munching_10dB,0.883,0.95,0.916
p245_132_babble_0dB,0.883,0.944,0.673
p245_132_copyMachine_5dB,0.883,0.929,0.808
p245_132_copyMachine_-5dB,0.883,0.981,0.517
p245_132_babble_10dB,0.883,0.881,0.894
p245_132_copyMachine_0dB,0.883,0.965,0.676
p245_132_babble_5dB,0.883,0.915,0.811
p245_132_babble_-5dB,0.883,0.977,0.487
p245_132_copyMachine_10dB,0.883,0.876,0.903
p245_132_munching_0dB,0.883,0.974,0.812
p245_132_airportAnnouncement_10dB,0.883,0.863,0.831
p245_132_airportAnnouncement_5dB,0.883,0.902,0.767
p245_132_munching_-5dB,0.883,0.982,0.735
p234_321_babble_5dB,0.958,0.936,0.857
p234_321_copyMachine_10dB,0.958,0.873,0.952
p234_321_munching_10dB,0.958,0.932,0.955
p234_321_airportAnnouncement_5dB,0.958,0.901,0.941
p234_321_copyMachine_5dB,0.958,0.94,0.89
p234_321_airportAnnouncement_-5dB,0.958,0.956,0.806
p234_321_munching_5dB,0.958,0.965,0.919
p234_321_babble_10dB,0.958,0.886,0.93
p234_321_munching_0dB,0.958,0.978,0.857
p234_321_copyMachine_0dB,0.958,0.973,0.773
p234_321_munching_-5dB,0.958,0.984,0.769
p234_321_airportAnnouncement_0dB,0.958,0.929,0.895
p234_321_airportAnnouncement_10dB,0.958,0.87,0.97
p234_321_babble_-5dB,0.958,0.985,0.603
p234_321_copyMachine_-5dB,0.958,0.987,0.621
p234_321_babble_0dB,0.958,0.963,0.737
p241_017_babble_-5dB,0.871,0.978,0.536
p241_017_babble_5dB,0.871,0.935,0.826
p241_017_airportAnnouncement_10dB,0.871,0.899,0.873
p241_017_copyMachine_10dB,0.871,0.891,0.91
p241_017_airportAnnouncement_5dB,0.871,0.934,0.805
p241_017_munching_5dB,0.871,0.97,0.876
p241_017_munching_-5dB,0.871,0.988,0.719
p241_017_copyMachine_5dB,0.871,0.939,0.827
p241_017_babble_10dB,0.871,0.901,0.915
p241_017_babble_0dB,0.871,0.957,0.696
p241_017_airportAnnouncement_-5dB,0.871,0.965,0.653
p241_017_copyMachine_-5dB,0.871,0.985,0.572
p241_017_copyMachine_0dB,0.871,0.974,0.708
p241_017_airportAnnouncement_0dB,0.871,0.949,0.733
p241_017_munching_0dB,0.871,0.981,0.805
p241_017_munching_10dB,0.871,0.955,0.926
p234_003_copyMachine_-5dB,0.898,0.984,0.595
p234_003_airportAnnouncement_0dB,0.898,0.938,0.772
p234_003_munching_5dB,0.898,0.966,0.888
p234_003_munching_10dB,0.898,0.95,0.94
p234_003_babble_5dB,0.898,0.936,0.868
p234_003_copyMachine_5dB,0.898,0.936,0.856
p234_003_airportAnnouncement_-5dB,0.898,0.957,0.684
p234_003_babble_10dB,0.898,0.921,0.933
p234_003_munching_-5dB,0.898,0.988,0.719
p234_003_airportAnnouncement_10dB,0.898,0.902,0.907
p234_003_copyMachine_0dB,0.898,0.969,0.735
p234_003_babble_-5dB,0.898,0.978,0.612
p234_003_babble_0dB,0.898,0.958,0.76
p234_003_copyMachine_10dB,0.898,0.906,0.927
p234_003_munching_0dB,0.898,0.98,0.812
p234_003_airportAnnouncement_5dB,0.898,0.919,0.845
p237_073_babble_0dB,0.717,0.935,0.619
p237_073_munching_0dB,0.717,0.962,0.729
p237_073_babble_-5dB,0.717,0.973,0.494
p237_073_munching_10dB,0.717,0.897,0.887
p237_073_copyMachine_0dB,0.717,0.962,0.632
p237_073_airportAnnouncement_-5dB,0.717,0.942,0.619
p237_073_airportAnnouncement_0dB,0.717,0.914,0.686
p237_073_copyMachine_10dB,0.717,0.832,0.867
p237_073_copyMachine_5dB,0.717,0.906,0.758
p237_073_airportAnnouncement_10dB,0.717,0.833,0.836
p237_073_airportAnnouncement_5dB,0.717,0.885,0.772
p237_073_copyMachine_-5dB,0.717,0.983,0.526
p237_073_munching_5dB,0.717,0.94,0.82
p237_073_babble_5dB,0.717,0.896,0.729
p237_073_babble_10dB,0.717,0.823,0.84
p237_073_munching_-5dB,0.717,0.978,0.649
p245_200_munching_10dB,0.869,0.93,0.84
p245_200_airportAnnouncement_10dB,0.869,0.876,0.818
p245_200_airportAnnouncement_5dB,0.869,0.901,0.734
p245_200_copyMachine_5dB,0.869,0.908,0.731
p245_200_munching_0dB,0.869,0.972,0.687
p245_200_babble_10dB,0.869,0.864,0.829
p245_200_copyMachine_10dB,0.869,0.873,0.816
p245_200_babble_5dB,0.869,0.919,0.692
p245_200_munching_5dB,0.869,0.957,0.767
p245_200_babble_-5dB,0.869,0.972,0.413
p245_200_copyMachine_-5dB,0.869,0.979,0.512
p245_200_babble_0dB,0.869,0.945,0.548
p245_200_airportAnnouncement_0dB,0.869,0.916,0.655
p245_200_munching_-5dB,0.869,0.982,0.622
p245_200_airportAnnouncement_-5dB,0.869,0.939,0.575
p245_200_copyMachine_0dB,0.869,0.963,0.619
p241_185_station_5dB,0.835,0.861,0.824
p241_185_station_-5dB,0.835,0.933,0.544
p241_185_babble_10dB,0.835,0.887,0.846
p241_185_copyMachine_5dB,0.835,0.917,0.69
p241_185_copyMachine_-5dB,0.835,0.981,0.393
p241_185_munching_0dB,0.835,0.972,0.685
p241_185_babble_5dB,0.835,0.928,0.747
p241_185_airportAnnouncement_5dB,0.835,0.922,0.686
p241_185_airportAnnouncement_10dB,0.835,0.9,0.778
p241_185_munching_10dB,0.835,0.936,0.85
p241_185_station_10dB,0.835,0.829,0.9
p241_185_copyMachine_0dB,0.835,0.962,0.532
p241_185_babble_-5dB,0.835,0.98,0.479
p241_185_copyMachine_10dB,0.835,0.865,0.825
p241_185_airportAnnouncement_-5dB,0.835,0.943,0.512
p241_185_munching_5dB,0.835,0.959,0.77
p241_185_babble_0dB,0.835,0.958,0.613
p241_185_airportAnnouncement_0dB,0.835,0.931,0.599
p241_185_munching_-5dB,0.835,0.981,0.6
p241_185_station_0dB,0.835,0.895,0.685
p237_198_munching_0dB,0.663,0.95,0.721
p237_198_babble_0dB,0.663,0.947,0.652
p237_198_munching_-5dB,0.663,0.972,0.652
p237_198_copyMachine_10dB,0.663,0.817,0.85
p237_198_babble_10dB,0.663,0.833,0.853
p237_198_copyMachine_5dB,0.663,0.905,0.75
p237_198_airportAnnouncement_-5dB,0.663,0.93,0.669
p237_198_airportAnnouncement_0dB,0.663,0.885,0.731
p237_198_copyMachine_0dB,0.663,0.963,0.637
p237_198_babble_-5dB,0.663,0.978,0.526
p237_198_airportAnnouncement_10dB,0.663,0.785,0.854
p237_198_airportAnnouncement_5dB,0.663,0.837,0.798
p237_198_munching_5dB,0.663,0.924,0.805
p237_198_babble_5dB,0.663,0.906,0.771
p237_198_munching_10dB,0.663,0.864,0.868
p237_198_copyMachine_-5dB,0.663,0.984,0.496
