file,ViSQOL_clean_vs_recon_clean,ViSQOL_degraded_vs_recon_degraded,ViSQOL_recon_clean_vs_recon_degraded
p245_132_airportAnnouncement_0dB,3.519,3.589,3.196
p245_132_airportAnnouncement_-5dB,3.519,3.859,2.644
p245_132_munching_5dB,3.519,3.517,3.508
p245_132_munching_10dB,3.519,3.382,3.591
p245_132_babble_0dB,3.519,3.544,2.316
p245_132_copyMachine_5dB,3.519,2.902,2.935
p245_132_copyMachine_-5dB,3.519,3.735,1.888
p245_132_babble_10dB,3.519,3.175,3.092
p245_132_copyMachine_0dB,3.519,3.326,2.584
p245_132_babble_5dB,3.519,3.142,2.9
p245_132_babble_-5dB,3.519,3.683,1.959
p245_132_copyMachine_10dB,3.519,2.891,3.35
p245_132_munching_0dB,3.519,3.283,3.141
p245_132_airportAnnouncement_10dB,3.519,3.364,3.586
p245_132_airportAnnouncement_5dB,3.519,3.414,3.285
p245_132_munching_-5dB,3.519,2.878,2.692
p234_321_babble_5dB,3.268,3.426,2.354
p234_321_copyMachine_10dB,3.268,2.986,2.759
p234_321_munching_10dB,3.268,3.208,3.275
p234_321_airportAnnouncement_5dB,3.268,3.705,3.153
p234_321_copyMachine_5dB,3.268,3.097,2.259
p234_321_airportAnnouncement_-5dB,3.268,4.064,2.241
p234_321_munching_5dB,3.268,3.282,3.083
p234_321_babble_10dB,3.268,3.136,2.908
p234_321_munching_0dB,3.268,3.202,2.574
p234_321_copyMachine_0dB,3.268,3.592,2.129
p234_321_munching_-5dB,3.268,3.314,2.284
p234_321_airportAnnouncement_0dB,3.268,3.739,2.595
p234_321_airportAnnouncement_10dB,3.268,3.538,3.382
p234_321_babble_-5dB,3.268,3.854,2.102
p234_321_copyMachine_-5dB,3.268,3.851,2.048
p234_321_babble_0dB,3.268,3.649,1.986
p241_017_babble_-5dB,3.163,3.904,2.346
p241_017_babble_5dB,3.163,3.372,2.594
p241_017_airportAnnouncement_10dB,3.163,3.288,3.419
p241_017_copyMachine_10dB,3.163,2.898,2.876
p241_017_airportAnnouncement_5dB,3.163,3.687,2.982
p241_017_munching_5dB,3.163,3.353,3.124
p241_017_munching_-5dB,3.163,3.306,2.319
p241_017_copyMachine_5dB,3.163,3.046,2.519
p241_017_babble_10dB,3.163,3.126,2.841
p241_017_babble_0dB,3.163,3.648,2.497
p241_017_airportAnnouncement_-5dB,3.163,4.173,2.421
p241_017_copyMachine_-5dB,3.163,3.849,2.099
p241_017_copyMachine_0dB,3.163,3.598,2.223
p241_017_airportAnnouncement_0dB,3.163,3.823,2.633
p241_017_munching_0dB,3.163,3.264,2.644
p241_017_munching_10dB,3.163,3.146,3.343
p234_003_copyMachine_-5dB,3.299,3.887,1.965
p234_003_airportAnnouncement_0dB,3.299,3.901,2.722
