file,STOI_clean_vs_recon_clean,STOI_degraded_vs_recon_degraded,STOI_recon_clean_vs_recon_degraded
p345_249_airportAnnouncement_-5dB,0.698,0.913,0.691
p345_249_airportAnnouncement_10dB,0.698,0.798,0.874
p345_249_airportAnnouncement_0dB,0.698,0.887,0.746
p345_249_train_coming_5dB,0.698,0.8,0.717
p345_249_train_coming_-5dB,0.698,0.92,0.463
p345_249_babble_10dB,0.698,0.804,0.787
p345_249_babble_-5dB,0.698,0.974,0.382
p345_249_train_coming_0dB,0.698,0.856,0.59
p345_249_white_noise_-5dB,0.698,0.974,0.605
p345_249_white_noise_5dB,0.698,0.899,0.728
p345_249_babble_5dB,0.698,0.87,0.64
p345_249_white_noise_10dB,0.698,0.763,0.822
p345_249_white_noise_0dB,0.698,0.949,0.674
p345_249_airportAnnouncement_5dB,0.698,0.852,0.807
p345_249_babble_0dB,0.698,0.92,0.487
p345_249_train_coming_10dB,0.698,0.758,0.838
p283_025_white_noise_-5dB,0.785,0.982,0.574
p283_025_airportAnnouncement_-5dB,0.785,0.951,0.567
p283_025_train_coming_-5dB,0.785,0.955,0.476
p283_025_white_noise_5dB,0.785,0.932,0.738
p283_025_babble_0dB,0.785,0.954,0.523
p283_025_babble_5dB,0.785,0.927,0.646
p283_025_airportAnnouncement_10dB,0.785,0.908,0.788
p283_025_white_noise_0dB,0.785,0.964,0.659
p283_025_train_coming_10dB,0.785,0.859,0.788
p283_025_train_coming_0dB,0.785,0.919,0.588
p283_025_airportAnnouncement_5dB,0.785,0.915,0.722
p283_025_white_noise_10dB,0.785,0.859,0.811
p283_025_train_coming_5dB,0.785,0.887,0.695
p283_025_babble_-5dB,0.785,0.979,0.403
p283_025_airportAnnouncement_0dB,0.785,0.933,0.646
p283_025_babble_10dB,0.785,0.881,0.763
p281_079_white_noise_-5dB,0.825,0.973,0.635
p281_079_train_coming_-5dB,0.825,0.941,0.494
p281_079_babble_-5dB,0.825,0.976,0.435
p281_079_train_coming_5dB,0.825,0.879,0.775
p281_079_white_noise_0dB,0.825,0.951,0.734
p281_079_train_coming_0dB,0.825,0.897,0.634
p281_079_train_coming_10dB,0.825,0.865,0.874
p281_079_airportAnnouncement_10dB,0.825,0.87,0.875
p281_079_babble_10dB,0.825,0.889,0.859
p281_079_white_noise_5dB,0.825,0.923,0.823
p281_079_babble_0dB,0.825,0.945,0.607
p281_079_airportAnnouncement_5dB,0.825,0.901,0.802
p281_079_babble_5dB,0.825,0.921,0.747
p281_079_white_noise_10dB,0.825,0.842,0.901
p281_079_airportAnnouncement_-5dB,0.825,0.94,0.641
p281_079_airportAnnouncement_0dB,0.825,0.916,0.72
p249_241_train_coming_5dB,0.712,0.837,0.825
p249_241_airportAnnouncement_0dB,0.712,0.911,0.681
p249_241_train_coming_10dB,0.712,0.806,0.884
p249_241_white_noise_10dB,0.712,0.781,0.861
p249_241_train_coming_0dB,0.712,0.88,0.711
p249_241_white_noise_5dB,0.712,0.906,0.793
p249_241_babble_5dB,0.712,0.901,0.738
p249_241_white_noise_-5dB,0.712,0.982,0.694
p249_241_airportAnnouncement_-5dB,0.712,0.936,0.606
p249_241_babble_0dB,0.712,0.941,0.634
p249_241_white_noise_0dB,0.712,0.958,0.75
p249_241_airportAnnouncement_10dB,0.712,0.838,0.827
p249_241_babble_-5dB,0.712,0.979,0.523
p249_241_airportAnnouncement_5dB,0.712,0.879,0.748
p249_241_train_coming_-5dB,0.712,0.938,0.566
p249_241_babble_10dB,0.712,0.846,0.834
p245_132_train_coming_10dB,0.877,0.857,0.897
p245_132_babble_5dB,0.877,0.915,0.803
p245_132_airportAnnouncement_5dB,0.877,0.902,0.756
p245_132_babble_0dB,0.877,0.944,0.662
p245_132_babble_10dB,0.877,0.881,0.883
p245_132_airportAnnouncement_0dB,0.877,0.923,0.684
p245_132_white_noise_10dB,0.877,0.823,0.904
p245_132_white_noise_0dB,0.877,0.96,0.753
p245_132_airportAnnouncement_10dB,0.877,0.863,0.822
p245_132_babble_-5dB,0.877,0.977,0.481
p245_132_train_coming_-5dB,0.877,0.952,0.548
p245_132_white_noise_5dB,0.877,0.92,0.843
p245_132_train_coming_0dB,0.877,0.915,0.687
p245_132_airportAnnouncement_-5dB,0.877,0.953,0.626
p245_132_white_noise_-5dB,0.877,0.978,0.659
p245_132_train_coming_5dB,0.877,0.873,0.822
p323_083_white_noise_10dB,0.892,0.811,0.971
p323_083_train_coming_10dB,0.892,0.84,0.948
p323_083_babble_10dB,0.892,0.857,0.952
p323_083_airportAnnouncement_-5dB,0.892,0.956,0.761
p323_083_babble_0dB,0.892,0.957,0.838
p323_083_airportAnnouncement_5dB,0.892,0.92,0.908
p323_083_train_coming_0dB,0.892,0.928,0.838
p323_083_train_coming_-5dB,0.892,0.961,0.739
p323_083_airportAnnouncement_0dB,0.892,0.934,0.846
p323_083_white_noise_-5dB,0.892,0.981,0.848
p323_083_babble_-5dB,0.892,0.984,0.732
p323_083_airportAnnouncement_10dB,0.892,0.895,0.944
p323_083_white_noise_0dB,0.892,0.966,0.921
p323_083_train_coming_5dB,0.892,0.886,0.912
p323_083_white_noise_5dB,0.892,0.924,0.96
p323_083_babble_5dB,0.892,0.923,0.912
p272_330_train_coming_0dB,0.727,0.873,0.651
p272_330_white_noise_-5dB,0.727,0.976,0.631
p272_330_train_coming_-5dB,0.727,0.932,0.528
p272_330_airportAnnouncement_10dB,0.727,0.849,0.814
p272_330_babble_10dB,0.727,0.824,0.855
p272_330_babble_0dB,0.727,0.934,0.645
p272_330_airportAnnouncement_0dB,0.727,0.929,0.691
p272_330_babble_-5dB,0.727,0.975,0.527
p272_330_airportAnnouncement_-5dB,0.727,0.95,0.628
p272_330_white_noise_10dB,0.727,0.762,0.873
p272_330_train_coming_10dB,0.727,0.76,0.869
p272_330_white_noise_0dB,0.727,0.954,0.699
p272_330_train_coming_5dB,0.727,0.805,0.777
p272_330_white_noise_5dB,0.727,0.908,0.767
p272_330_airportAnnouncement_5dB,0.727,0.898,0.759
p272_330_babble_5dB,0.727,0.891,0.758
p305_175_babble_0dB,0.827,0.968,0.543
p305_175_white_noise_10dB,0.827,0.862,0.834
p305_175_train_coming_0dB,0.827,0.927,0.58
p305_175_white_noise_5dB,0.827,0.93,0.78
p305_175_train_coming_10dB,0.827,0.875,0.771
p305_175_train_coming_5dB,0.827,0.896,0.685
p305_175_airportAnnouncement_10dB,0.827,0.865,0.815
p305_175_train_coming_-5dB,0.827,0.957,0.488
p305_175_airportAnnouncement_-5dB,0.827,0.936,0.607
p305_175_babble_5dB,0.827,0.945,0.666
p305_175_white_noise_-5dB,0.827,0.977,0.577
p305_175_airportAnnouncement_5dB,0.827,0.89,0.766
p305_175_airportAnnouncement_0dB,0.827,0.913,0.716
p305_175_babble_10dB,0.827,0.907,0.762
p305_175_babble_-5dB,0.827,0.984,0.425
p305_175_white_noise_0dB,0.827,0.96,0.686
p360_188_train_coming_-5dB,0.779,0.947,0.552
p360_188_airportAnnouncement_-5dB,0.779,0.947,0.598
p360_188_babble_0dB,0.779,0.944,0.66
p360_188_airportAnnouncement_10dB,0.779,0.851,0.878
